nickname,teams,Unnamed: 0,player_id,age,country,rating
string,string,continuous,continuous,continuous,ARG AUS BEL BGR BIH BLR BRA CAN CHE CHN CZE DEU DNK ESP EST FIN FRA GBR GTM HKG HUN IDN ISR JOR KAZ KOR LTU LVA MEX MKD MNE MNG MYS NLD NOR NZL POL PRT ROU RUS SGP SRB SVK SWE THA TUR TWN UKR URY USA UZB XKX ZAF,continuous
ekul,"Paradox, SYF",71.0,14505.0,27.0,AUS,1.14
Ax1Le,"Gambit Youngsters, Gambit",72.0,16555.0,20.0,RUS,1.16
nython,"RED Canids, Paquetá, paiN",73.0,18743.0,24.0,BRA,1.14
aliStair,"ORDER, Chiefs, Renegades",74.0,11139.0,24.0,AUS,1.14
moose,"eUnited, Rise Nation",75.0,12271.0,24.0,CAN,1.14
xccurate,"TYLOO, Recca, BTRG, NKT",76.0,10263.0,24.0,IDN,1.09
mixwell,"OpTic, Movistar Riders",77.0,8370.0,26.0,ESP,1.09
allu,"ENCE, NIP, FaZe",78.0,695.0,30.0,FIN,1.09
electroNic,"Natus Vincere, FlipSid3",79.0,8918.0,23.0,RUS,1.09
Spinx,"ENCE, c0ntact",80.0,18221.0,21.0,ISR,1.13
syrsoN,"BIG, ALTERNATE aTTaX, Sprout",81.0,7266.0,26.0,DEU,1.09
PwnAlone,"Party Astronauts, New England Whalers, High Coast",82.0,15090.0,31.0,USA,1.14
GeT_RiGhT,NIP,83.0,39.0,32.0,SWE,1.09
JUGi,"Heroic, OpTic, Tricked, North",84.0,8783.0,25.0,DNK,1.09
gas,"Wings Up, LGD, EDG, Aster",85.0,10722.0,26.0,CHN,1.12
biguzera,paiN,86.0,18141.0,25.0,BRA,1.16
lollipop21k,"Nemiga, GoodJob",87.0,13980.0,26.0,BLR,1.14
Cooper,"Swole Patrol, eUnited, Triumph",88.0,15007.0,28.0,USA,1.12
Calyx,"Space Soldiers, Eternal Fire, DarkPassage",89.0,8575.0,24.0,TUR,1.09
Sonic,"Bravado, Extra Salt, Cloud9",90.0,8711.0,23.0,ZAF,1.09
zehN,"HAVU, GODSENT, PENTA, FunPlus Phoenix",91.0,1378.0,30.0,FIN,1.09
ryx,"Echo Fox, Splyce, Ghost, Dignitas, Tempo Storm, Conquest",92.0,9042.0,29.0,USA,1.09
BL1TZ,"Chiefs, Legacy, AVANT, Funky Monkeys",93.0,12715.0,29.0,AUS,1.1
NAF,"Liquid, OpTic",94.0,8520.0,24.0,CAN,1.09
ZOREE,"HAVU, iGame.com, SJ",95.0,8576.0,28.0,FIN,1.09
ScreaM,"Envy, G2, Titan, VeryGames",96.0,7390.0,28.0,BEL,1.09
hades,"ENCE, Wisla Krakow",97.0,16848.0,22.0,POL,1.11
dennyslaw,SKADE,98.0,13466.0,22.0,BGR,1.12
EliGE,Liquid,99.0,8738.0,25.0,USA,1.09
floppy,"Cloud9, Singularity",100.0,12713.0,22.0,USA,1.15
nex,"BIG, MOUZ",101.0,7256.0,30.0,DEU,1.09
cynic,"Gaimin Gladiators, Party Astronauts, Triumph",102.0,16546.0,22.0,USA,1.14
valde,"North, OG, Heroic",103.0,9031.0,27.0,DNK,1.09
hazr,"AVANT, Looking For Org, Breakaway, Dire Wolves",104.0,14294.0,20.0,AUS,1.14
nukkye,"Imperial, HellRaisers, NoChance",105.0,13679.0,24.0,LTU,1.12
faveN,"Sprout, EURONICS",106.0,14932.0,22.0,DEU,1.13
mezii,"fnatic, Endpoint, GamerLegion, Cloud9, Vexed",107.0,18462.0,23.0,GBR,1.14
fer,"SK, MIBR, Luminosity",108.0,8564.0,30.0,BRA,1.08
Farlig,"Astralis, Copenhagen Flames, FunPlus Phoenix, GODSENT",109.0,13300.0,23.0,DNK,1.1
JOTA,"MIBR, Bravos, Keyd",110.0,17861.0,24.0,BRA,1.15
k0nfig,"Dignitas, OpTic, Complexity, North",111.0,9078.0,25.0,DNK,1.08
dupreeh,"Astralis, TSM",112.0,7398.0,29.0,DNK,1.08
Savage,"VG.CyberZen, ViCi, CyberZen, 5POWER",113.0,180.0,33.0,CHN,1.08
Attacker,"TYLOO, Flash",114.0,8552.0,25.0,CHN,1.08
dexter,"MOUZ, Grayhound, Renegades",115.0,9115.0,27.0,AUS,1.08
DJOXiC,"Binary Dragons, iNation, Valiance",116.0,3543.0,29.0,SRB,1.08
Detrony,Bravado,117.0,7993.0,31.0,ZAF,1.08
Machinegun,"TheMongolz, Mazaalai",118.0,9247.0,32.0,MNG,1.08
Magisk,"Astralis, SK, Dignitas",119.0,9032.0,24.0,DNK,1.08
draken,"Epsilon, NIP, Red Reserve",120.0,9255.0,26.0,SWE,1.08
keev,"ALTERNATE aTTaX, BIG, KILLERFISH",121.0,5799.0,30.0,DEU,1.08
felps,"SK, GODSENT, Immortals, Tempo Storm",122.0,9219.0,25.0,BRA,1.08
sergej,"GORILLAZ, ENCE, HAVU",123.0,11916.0,20.0,FIN,1.13
pz,"VERTEX, TRUCKERS WITH ATTITUDE, Airborne",124.0,18736.0,22.0,AUS,1.12
ShahZaM,"Complexity, Misfits, Echo Fox, Conquest, OpTic",125.0,7810.0,28.0,USA,1.08
exit,"MIBR, Sharks",126.0,11154.0,25.0,BRA,1.12
Summer,"TYLOO, Flash",127.0,7028.0,25.0,CHN,1.08
Hatz,"ORDER, Renegades, Kings",128.0,11162.0,24.0,AUS,1.14
jayzaR,"Valiance, Enyoy",129.0,8555.0,25.0,SWE,1.08
MICHU,"Virtus.pro, Kinguin, CSGL",130.0,7356.0,25.0,POL,1.08
Ryxxo,"Tricked, Singularity",131.0,8848.0,25.0,DNK,1.08
FL1T,forZe,132.0,12732.0,21.0,RUS,1.13
hAdji,"LDLC, EnVyUs Academy",133.0,9656.0,26.0,FRA,1.08
Rickeh,"ORDER, CLG, Rogue",134.0,8745.0,30.0,AUS,1.07
nicoodoz,Copenhagen Flames,135.0,13602.0,21.0,DNK,1.1
ptr,"Bad News Bears, NRG, Complexity",136.0,8707.0,32.0,USA,1.07
dapr,eUnited,137.0,11586.0,23.0,USA,1.13
NaToSaphiX,"Sprout, Nordavind",138.0,9294.0,25.0,DNK,1.07
meyern,"Furious, MIBR, Isurus, Sharks",139.0,14737.0,19.0,ARG,1.11
junior,"Triumph, Bad News Bears, Complexity, FURIA",140.0,14494.0,21.0,USA,1.1
iDISBALANCE,"Nemiga, Spirit",141.0,14273.0,25.0,RUS,1.13
autimatic,"Cloud9, Gen.G",142.0,8735.0,25.0,USA,1.07
YEKINDAR,"pro100, Virtus.pro, EPG",143.0,13915.0,22.0,LVA,1.14
Impulse,"Valiance, ONYX, lvlUP, RESISTANCE",144.0,12379.0,26.0,SRB,1.11
jks,"Renegades, Complexity, 100 Thieves",145.0,4679.0,26.0,AUS,1.07
Liazz,"ORDER, Renegades, 100 Thieves, Kings, Athletico, EXTREMUM",146.0,10588.0,24.0,AUS,1.07
smike,"spray'n'pray, pro100, ACG, eXplosive, k1ck",147.0,8526.0,24.0,UKR,1.07
shox,"G2, Vitality, Envy",148.0,1225.0,30.0,FRA,1.07
anarkez,"Finest, Secret",149.0,11815.0,22.0,ISR,1.11
hallzerk,"Dignitas, Nordavind",150.0,12840.0,22.0,NOR,1.1
broky,"FaZe, Epsilon",151.0,18053.0,21.0,LVA,1.1
xand,"INTZ, Yeah",152.0,9218.0,27.0,BRA,1.07
paz,"Space Soldiers, Sangal",153.0,9353.0,25.0,TUR,1.07
slaxz-,"Sprout, ALTERNATE aTTaX",154.0,15370.0,23.0,DEU,1.11
CRUC1AL,"Endpoint, Epsilon",155.0,7996.0,25.0,NLD,1.07
fejtZ,"SMASH, ArchAngels",156.0,7910.0,24.0,EST,1.07
InfrequeNt,"Athletico, Tainted Minds, Chiefs",157.0,10587.0,27.0,AUS,1.07
EspiranTo,"Imperial, Valiance, CR4ZY, c0ntact",158.0,12030.0,21.0,LTU,1.11
WorldEdit,"FlipSid3, pro100, Winstrike",159.0,7403.0,30.0,RUS,1.07
QKA,"5POWER, UYA, BOOT",160.0,11355.0,28.0,CHN,1.1
trk,"TeamOne, MIBR",161.0,11163.0,27.0,BRA,1.14
somebody,TYLOO,162.0,8605.0,27.0,CHN,1.07
shroud,Cloud9,163.0,8349.0,28.0,CAN,1.07
Pimp,"Dignitas, SK, Liquid, CPH Wolves",164.0,7154.0,26.0,DNK,1.07
